Locality_ID,Geosite_Name,Expert_Class
loc_01572,Lower Liassic dolomite of Akchmir,Easy
loc_01573,Quaternary basalts balls of Sidi-Addi,Easy
loc_01574,Quaternary/Triassic unconformity of Azrou,Easy
loc_01575,Chtifat (C 1),Easy
loc_01576,Chtifat (C 2),Easy
loc_01577,Lachmine Lakbir (LA 1),Easy
loc_01578,Ait Quassou,Easy
loc_01579,Boutjatiout,Easy
loc_01580,Tichout Tazouggaght,Easy
loc_01581,Tamarakoit,Moderate
loc_01582,Tamahrart,Easy
loc_01583,Tizi Idguel,Easy
loc_01584,Selrhert (S 1),Easy
loc_01585,Selrhert (S 2),Easy
loc_01586,Sidi Boundouh,Easy
loc_01587,H1,Easy
loc_01588,H2,Easy
loc_01589,Ich Ouaharrouq (IO 1),Easy
loc_01590,Ich Ouaharrouq (IO 2),Easy
loc_01591,Chtifat (C 3),Easy
loc_01592,Sud Izyar,Easy
loc_01593,Azougouash,Easy
loc_01594,Houirt,Moderate
loc_01595,Bekrit,Easy
loc_01596,Outgui,Easy
loc_01597,Si Mghid,Easy
loc_01598,Ariana,Easy
loc_01599,Sidi abdel aziz,Easy
loc_01600,Louugnina,Easy
loc_01601,Talsast,Easy
loc_01602,Lachmine Lakbir (LA2),Easy
loc_01603,Ali ou ahmed (A 1),Difficult
loc_01604,Ich Ouaharrouq (IO 2),Easy
loc_01605,Regada,Difficult
loc_01606,Dayat Yfrah,Easy
loc_01607,Chmil Assou,Easy
loc_01608,Tabourit,Easy
loc_01609,Rabouba,Moderate
loc_01610,Mijmouane,Easy
loc_01611,Am Larays,Moderate
loc_01612,Ouaoussentecht,Moderate
loc_01613,Masrabe,Easy
loc_01614,Habri,Easy
loc_01615,Jbel Outgui,Easy
loc_01616,Tit Ouagmar,Easy
loc_01617,Chedifat-Tit Ouagma,Easy
loc_01618,Sidi Aziz,Easy
loc_01619,Afennourir,Moderate
loc_01620,Dayet Ifrah,Easy
loc_01621,Polje de Ouiouane,Easy
loc_01622,Bassin de Agoulmam,Moderate
loc_01623,Doline de Moutferraoun,Moderate
loc_01624,Tichilite,Easy
loc_01625,Source Vittel,Easy
loc_01626,Terrasses d’El Hajeb,Easy
loc_01627,Sources Oum Er Rbia,Moderate
loc_01628,Gorge de Azra Azegarh,Easy
loc_01629,Méandre Oued Akkous,Easy
loc_01630,Gorge de l’Oued Defali,Easy
loc_01631,Village Bou Youssef,Easy
loc_01632,Mohamed Messaoud,Easy
loc_01633,Paysage d’Ito,Easy
loc_01634,Creˆte de Tizra,Difficult
loc_01635,Tammeroit,Difficult
loc_01636,Balcon de Timahdite,Moderate
loc_01637,Chevrons Timahdite,Moderate
loc_01638,Azrou unconformity,Moderate
loc_01639,Douar Caid Ait Ouahi,Moderate
loc_01640,Pillow lava of Malha valley,Moderate
loc_01641,Almou,Easy
loc_01642,Mijmouane,Easy
loc_01643,Carry of Ouest Hebri,Easy
loc_01644,Boutjetiout,Easy
loc_01645,Tit Ouagmar,Easy
loc_01646,Bou Ahsine,Easy
loc_01647,Foum El Kheneg,Easy
loc_01648,Ifri N'Tfrane,Easy
loc_01649,Laach O'Medda,Easy
loc_01650,Tassmante O'Moche,Easy
loc_01651,Benguerir,Easy
loc_01652,Douar Mghila,Easy
loc_01653,Ksar Al Goraane,Easy
loc_01654,Tinjdad,Easy
loc_01655,Tamdakht,Difficult
loc_01656,Oued El Hdjar,Easy
loc_01657,Bensour,Easy
loc_01658,Izarzar,Easy
loc_01659,Sidi Ali Ou Azza,Moderate
loc_01660,Tissint,Moderate
loc_01661,Tirhert,Moderate
loc_01662,Kheng Ljouad,Difficult
loc_01663,Mahbas Aaraid,Easy
loc_01664,Zag,Easy
loc_01665,Itqly,Moderate
loc_01666,Gueltat Zemmour,Easy
loc_01667,Oum Dreya,Moderate
loc_01668,Alluvial terraces of Aït Mallal,Difficult
loc_01669,Ras El Ma Waterfalls,Easy
loc_01670,Ras El Ma resurgence,Easy
loc_01671,Generalized erosion at Sidi Majbar,Difficult
loc_01672,Holm Oak on lapie,Difficult
loc_01673,Jbel Bou Massoud lapies field,Difficult
loc_01674,Ponor Dayet Chiker,Easy
loc_01675,Dayet Chiker chasm,Easy
loc_01676,Dayet Chiker Polje,Easy
loc_01677,Friouato chasm,Easy
loc_01678,Habiat under the Dayet Chiker escapment,Moderate
loc_01679,Ain Becher doline,Moderate
loc_01680,Old lead pencil,Easy
loc_01681,Jbel Bou Slama cave,Easy
loc_01682,Bab Boudir complex,Moderate
loc_01683,Dhar feurn waterfalls,Difficult
loc_01684,Ain Admame exsurgence,Difficult
loc_01685,Volcano-sedimentary complex,Moderate
loc_01686,Beni Senane acriculture terraces,Moderate
loc_01687,Tazekka massif,Difficult
loc_01688,Ouled Lakhal gorges,Difficult
loc_01689,El Qelaa complex,Difficult
loc_01690,El Qelaa landslide,Easy
loc_01691,Jbel Bou Massoud anticlinal,Easy
loc_01692,Jbel Bou Massoud fossilized lapies field,Easy
loc_01693,Tighigha fossilized lapies field,Easy
loc_01694,Tighigha complex,Easy
loc_01695,Clonial millitary camp,Easy
loc_01696,Ain Khebbab exsurgence,Difficult
loc_01697,Cascade Sahbab,Easy
loc_01698,Canyon of High-Tessaout valley,Moderate
loc_01699,Canyon of Ikiss,Moderate
loc_01700,Peak and cliffs of Tarkeddid mountain,Difficult
loc_01701,Mount M’goun (4068 m),Difficult
loc_01702,Glacial cirques and U-shaped valleys of M’goun,Moderate
loc_01703,Ordovician Trilobites of Zagora Area Site 2,Easy
loc_01704,Ordovician Trilobites of Zagora Area Site 3,Easy
loc_01705,Ordovician Trilobites of Zagora Area Site 4,Easy
loc_01706,Ordovician Trilobites of Zagora Area Site 5,Easy
loc_01707,The Ergs,Moderate
loc_01708,The Regs of Tinzouline,Moderate
loc_01709,The Regs of Tamgroutat,Moderate
loc_01710,Foum Chenna,Moderate
loc_01711,Assif Ouigane,Moderate
loc_01712,Cheaba Lbâida,Moderate
loc_01713,Ordovician Trilobites of Zagora Area Site 6,Easy
loc_01714,Ordovician Trilobites of Zagora Area Site 7,Easy
loc_01715,Ordovician Trilobites of Zagora Area Site 8,Easy
loc_01716,Ordovician Trilobites of Zagora Area Site 9,Easy
loc_01717,Ordovician Trilobites of Zagora Area Site 10,Easy
loc_01718,Ordovician Trilobites of Zagora Area Site 11,Easy
